RK,NAME,TEAM,POS,GMS,PTS,REB,AST,BLK,STL,FGP,FTP,3PP,FTM,2PM,3PM,TO,MIN,DD2,TD3,FPTS
1,LeBron James,CLE,SF,82,2251,710,747,71,116,54.2,73.1,36.7,388,708,149,348,3025,52,18,4249.5
2,Russell Westbrook,OKC,PG,80,2028,804,820,20,147,44.9,73.7,29.8,417,660,97,382,2913,59,25,4174.8
3,Anthony Davis,NO,PF,75,2110,832,174,193,115,53.4,82.8,34,495,725,55,162,2727,50,1,3823.4
4,Giannis Antetokounmpo,MIL,PF,75,2014,754,360,106,109,52.9,76,30.7,487,699,43,224,2756,42,1,3664.8
5,James Harden,HOU,PG,72,2191,388,629,50,126,44.9,85.8,36.7,624,386,265,315,2548,31,4,3637.1
6,Karl-Anthony Towns,MIN,C,82,1743,1013,199,115,64,54.6,85.8,42.1,345,519,120,160,2918,68,0,3455.1
7,Andre Drummond,DET,C,78,1171,1248,237,129,114,52.8,60.5,0,239,466,0,202,2625,62,0,3308.1
8,Ben Simmons,PHI,PG,81,1279,659,661,70,140,54.5,56,0,191,544,0,278,2732,38,12,3203.3
9,Nikola Jokic,DEN,C,75,1385,802,459,61,90,50,85,39.6,266,393,111,210,2441,38,10,3127.9
10,Damian Lillard,POR,PG,73,1962,325,481,27,78,43.9,91.6,36.1,493,394,227,205,2669,11,0,3078.5
11,Kevin Durant,GS,SF,68,1792,464,366,119,50,51.6,88.9,41.9,359,457,173,207,2325,15,2,3028.8
12,Victor Oladipo,IND,SG,75,1735,390,323,57,176,47.7,79.9,37.1,294,479,161,220,2552,3,0,2933.5
13,Bradley Beal,WAS,SG,82,1857,363,373,36,97,46,79.1,37.5,292,484,199,214,2977,4,0,2904.1
14,DeMar DeRozan,TOR,SG,80,1840,315,417,22,85,45.6,82.5,31,461,556,89,175,2711,0,0,2882.5
15,LaMarcus Aldridge,SA,PF,75,1735,634,152,90,43,51,83.7,29.3,334,660,27,112,2508,27,0,2877.8
16,Dwight Howard,CHA,C,81,1347,1012,105,131,47,55.5,57.4,14.3,334,505,1,208,2463,54,0,2866.9
17,Jrue Holiday,NO,PG,81,1537,366,486,64,122,49.4,78.6,33.7,187,495,120,213,2926,8,1,2864.2
18,Paul George,OKC,SF,79,1734,447,263,39,161,43,82.2,40.1,338,332,244,212,2890,4,0,2852.9
19,Kemba Walker,CHA,PG,80,1770,248,444,25,92,43.1,86.4,38.4,363,357,231,179,2735,3,0,2788.6
20,Khris Middleton,MIL,SF,82,1652,428,328,21,119,46.7,88.4,36,320,447,146,191,2981,5,1,2746.6
21,Joel Embiid,PHI,C,63,1445,690,199,111,40,48.3,76.9,30.8,359,444,66,234,1911,38,0,2639.5
22,Lou Williams,LAC,SG,79,1782,198,417,19,85,43.5,88,35.9,432,396,186,234,2589,7,0,2619.1
