RK,NAME,TEAM,POS,GMS,PTS,REB,AST,BLK,STL,FGP,FTP,3PP,FTM,2PM,3PM,TO,MIN,DD2,TD3,FPTS
1,LeBron James,CLE,SF,81,2304,613,587,93,137,48.9,78,34.4,594,657,132,241,3054,29,7,4139.1
2,Dwyane Wade,MIA,SG,79,2386,398,589,106,173,49.1,76.5,31.7,590,766,88,272,3048,20,0,4033.1
3,Chris Paul,NO,PG,78,1781,432,861,10,216,50.3,86.8,36.4,455,567,64,231,3002,50,6,3811.9
4,Dwight Howard,ORL,C,79,1624,1093,112,231,77,57.2,59.4,0,504,560,0,240,2821,63,1,3479.6
5,Kobe Bryant,LAL,SF,82,2201,429,399,37,120,46.7,85.6,35.1,483,682,118,210,2960,8,2,3418.3
6,Dirk Nowitzki,DAL,PF,81,2094,681,197,63,61,47.9,89,35.9,485,713,61,157,3050,26,0,3297.7
7,Chris Bosh,TOR,PF,77,1746,771,191,77,67,48.7,81.7,24.5,504,603,12,174,2927,43,0,3071.7
8,Antawn Jamison,WAS,PF,81,1801,721,153,25,95,46.8,75.4,35.1,341,562,112,125,3095,38,0,3010.7
9,Pau Gasol,LAL,C,81,1528,780,284,81,52,56.7,78.1,50,343,591,1,157,2999,37,1,2999
10,Tim Duncan,SA,C,75,1450,800,264,126,38,50.4,69.2,0,334,558,0,165,2522,49,0,2969
11,Brandon Roy,POR,SF,78,1765,370,400,22,88,48,82.4,37.7,416,550,83,152,2903,3,0,2877
12,Andre Iguodala,PHI,SF,82,1541,471,434,36,131,47.3,72.4,30.7,377,462,80,222,3269,11,0,2869.2
13,Kevin Durant,OKC,SF,74,1871,482,205,53,96,47.6,86.3,42.2,452,564,97,225,2884,15,0,2829.9
14,Joe Johnson,ATL,SG,79,1688,346,455,19,84,43.7,82.6,36,299,471,149,195,3124,4,1,2796.7
15,Vince Carter,BKN,SG,80,1662,410,376,38,82,43.7,81.7,38.5,335,437,151,166,2946,8,1,2792
16,Yao Ming,HOU,C,77,1514,761,137,150,30,54.8,86.6,100,381,565,1,234,2588,38,0,2758.7
17,David Lee,NY,PF,81,1293,951,174,22,80,54.9,75.5,0,249,522,0,150,2824,65,0,2749.2
18,David West,NO,PF,76,1593,646,173,68,49,47.2,88.4,24,367,604,6,163,2981,29,0,2698.7
19,Paul Pierce,BOS,SF,81,1658,457,294,27,80,45.7,83,39.1,459,421,119,228,3035,7,0,2633.4
20,Andre Miller,PHI,PG,82,1337,368,534,14,109,47.3,82.6,28.3,338,477,15,199,2976,12,2,2626.6
21,LaMarcus Aldridge,POR,PF,81,1470,605,157,77,77,48.4,78.1,25,261,594,7,121,3003,19,0,2618.5
22,Deron Williams,UTA,PG,68,1322,195,725,20,73,47.1,84.9,31,326,393,70,228,2505,44,0,2601.5
23,Jason Kidd,DAL,PG,81,731,500,702,39,160,41.6,81.9,40.6,86,126,131,185,2885,19,3,2597
24,Danny Granger,IND,SF,67,1728,341,183,97,69,44.7,87.8,40.4,404,389,182,165,2424,6,0,2578.7
25,Rajon Rondo,BOS,PG,80,953,416,659,11,149,50.5,64.2,31.2,172,368,15,209,2642,15,2,2551.7
26,Tony Parker,SA,PG,72,1581,223,496,4,67,50.6,78.2,29.2,284,620,19,186,2455,15,0,2548.6
27,Devin Harris,BKN,PG,69,1470,231,476,13,114,43.8,82,29.1,496,391,64,212,2494,16,0,2503.2
28,Chauncey Billups,DEN,PG,79,1400,239,506,18,93,41.8,91.3,40.8,418,248,162,177,2788,10,0,2490.8
29,Derrick Rose,CHI,PG,81,1361,317,512,18,66,47.5,78.8,22.2,197,558,16,202,3000,8,0,2475.4
30,Raymond Felton,CHA,PG,82,1162,310,553,30,126,40.8,80.5,28.5,219,383,59,228,3086,7,0,2447.5
31,Ben Gordon,CHI,SG,82,1699,283,279,22,71,45.5,86.4,41,330,425,173,200,2998,0,0,2443.1
32,Shaquille O'Neal,PHO,C,75,1333,633,126,108,49,60.9,59.5,0,309,512,0,168,2252,30,0,2427.6
33,Troy Murphy,IND,PF,73,1041,861,172,34,58,47.5,82.6,45,152,203,161,114,2482,49,0,2402.2
34,Steve Nash,PHO,PG,74,1160,223,717,10,55,50.3,93.3,43.9,196,320,108,248,2484,29,0,2385.1
35,Emeka Okafor,CHA,C,82,1085,827,53,136,48,56.1,59.3,0,219,433,0,144,2691,39,0,2380.9
36,Carmelo Anthony,DEN,PF,66,1504,450,222,24,75,44.3,79.3,37.1,371,472,63,199,2277,12,0,2376
37,Russell Westbrook,OKC,PG,82,1256,399,435,16,110,39.8,81.5,27.1,349,401,35,274,2668,10,1,2365.3
38,Caron Butler,WAS,SF,67,1392,413,290,20,106,45.3,85.8,31,345,426,65,210,2584,10,0,2364.6
39,Rashard Lewis,ORL,PF,79,1401,453,205,51,81,43.9,83.6,39.7,225,258,220,158,2858,4,0,2358.1
40,Gerald Wallace,CHA,PF,71,1182,553,189,67,121,48,80.4,29.8,365,350,39,148,2669,20,0,2357.1
41,Richard Jefferson,MIL,SF,82,1607,374,199,14,66,43.9,80.5,39.7,417,421,116,165,2938,2,0,2349.3
42,Rudy Gay,MEM,SF,79,1493,437,135,59,98,45.3,76.7,35.1,264,487,85,203,2945,6,0,2330.9
43,Hedo Turkoglu,ORL,PF,77,1294,410,375,19,64,41.3,80.7,35.6,314,289,134,204,2814,4,0,2310.5
44,John Salmons,CHI,SF,79,1446,333,249,24,83,47.2,83,41.7,288,390,126,165,2959,3,0,2268.1
45,O.J. Mayo,MEM,SG,82,1516,308,262,13,91,43.8,87.9,38.4,247,417,145,226,3120,2,0,2260.6
46,Mo Williams,CLE,PG,81,1443,279,329,9,69,46.7,91.2,43.6,208,343,183,179,2834,1,0,2248.3
47,Nene Hilario,DEN,C,77,1123,598,108,101,95,60.4,72.3,20,266,427,1,147,2510,20,0,2247.6
48,Brook Lopez,BKN,C,82,1068,665,86,151,44,53.1,79.3,0,172,448,0,147,2501,18,0,2238
49,Al Harrington,NY,PF,73,1469,455,102,22,88,43.9,79.3,36.4,234,361,171,161,2546,10,0,2227
50,Tayshaun Prince,DET,SF,82,1163,476,253,51,44,45,77.8,39.7,189,403,56,101,3057,11,0,2202.7
51,Jeff Green,OKC,SF,78,1290,519,155,33,81,44.6,78.8,38.9,242,380,96,173,2874,13,0,2200.3
52,Paul Millsap,UTA,PF,76,1028,654,138,73,78,53.4,69.9,0,228,400,0,129,2290,29,0,2192.8
53,Mike Bibby,ATL,PG,79,1176,278,392,11,98,43.5,78.9,39,135,270,167,128,2739,4,0,2187.6
54,Josh Smith,ATL,PF,69,1073,498,169,111,94,49.2,58.8,29.9,211,392,26,161,2420,20,0,2173.1
55,Charlie Villanueva,MIL,PF,78,1264,520,137,56,50,44.7,83.8,34.5,201,398,89,138,2094,14,0,2167.5
56,Lamar Odom,LAL,PF,78,885,637,204,98,77,49.2,62.3,32,160,313,33,138,2315,18,0,2167.4
57,Stephen Jackson,GS,SF,59,1223,303,381,31,88,41.4,82.6,33.8,294,310,103,229,2339,9,1,2167.1
58,Mehmet Okur,UTA,C,72,1225,557,120,53,54,48.5,81.7,44.6,273,341,90,132,2409,23,0,2155.4
59,Jason Terry,DAL,SG,74,1447,177,251,20,97,46.3,88,36.6,198,374,167,119,2490,0,0,2150.9
60,Nate Robinson,NY,PG,74,1272,290,301,6,95,43.7,84.1,32.5,249,324,125,139,2208,4,0,2134.5
61,Luis Scola,HOU,PF,82,1044,720,123,11,68,53.1,76,0,196,424,0,123,2488,28,0,2127.5
62,Wilson Chandler,NY,SF,82,1184,445,170,75,71,43.2,79.5,32.8,171,352,103,139,2734,3,0,2126
63,Ray Allen,BOS,SG,79,1434,278,218,13,69,48,95.2,40.9,237,300,199,134,2875,0,0,2124.6
64,Boris Diaw,CHA,C,81,1072,432,333,53,61,50.7,68.7,41.4,101,373,75,215,2753,8,0,2102.9
65,Baron Davis,LAC,PG,65,968,238,501,35,108,37,75.7,30.2,159,256,99,193,2248,13,0,2098.1
