RK,NAME,TEAM,POS,GMS,PTS,REB,AST,BLK,STL,FGP,FTP,3PP,FTM,2PM,3PM,TO,MIN,DD2,TD3,FPTS
1,Nikola Jokic,DEN,C,74,2004,1019,584,63,110,58.3,81,33.7,379,667,97,281,2474,66,19,4167.8
2,Giannis Antetokounmpo,MIL,PF,67,2002,778,388,91,72,55.3,72.2,29.3,553,618,71,219,2204,46,4,3624.6
3,Joel Embiid,PHI,C,68,2079,796,285,99,76,49.9,81.4,37.1,654,573,93,214,2295,46,2,3597.7
4,Trae Young,ATL,PG,76,2155,284,737,7,72,46,90.4,38.2,500,478,233,303,2651,42,0,3456.3
5,Luka Doncic,DAL,PG,65,1847,593,568,36,75,45.7,74.4,35.3,364,440,201,292,2300,44,10,3340.6
6,Jayson Tatum,BOS,SF,76,2046,609,334,49,75,45.3,85.3,35.3,400,478,230,217,2729,22,0,3308.8
7,Dejounte Murray,SA,PG,68,1438,563,627,23,138,46.2,79.4,32.7,196,477,96,180,2365,39,13,3196.1
8,Karl-Anthony Towns,MIN,C,74,1818,727,269,83,72,52.9,82.2,41,384,492,150,226,2472,40,1,3177.9
9,DeMar DeRozan,CHI,SG,76,2118,391,374,24,68,50.4,87.7,35.2,520,724,50,180,2741,6,0,3152.2
10,LaMelo Ball,CHA,PG,75,1508,501,571,30,119,42.9,87.2,38.9,212,318,220,245,2418,23,5,3018.7
11,James Harden,PHI,SG,65,1432,500,667,36,81,41,87.7,33,470,259,148,284,2419,42,11,2982.5
12,Miles Bridges,CHA,SF,80,1613,559,300,67,74,49.1,80.2,33.2,267,442,154,150,2834,15,0,2865.8
13,Pascal Siakam,TOR,PF,68,1551,580,360,42,85,49.4,74.9,34.4,284,521,75,181,2577,30,2,2860
14,Russell Westbrook,LAL,PG,78,1441,580,550,20,75,44.4,66.7,29.8,266,469,79,295,2677,28,10,2857
15,LeBron James,LAL,SF,56,1695,459,349,59,73,52.4,75.6,35.9,254,479,161,196,2084,21,6,2837.3
16,Julius Randle,NY,PF,72,1447,716,370,39,53,41.1,75.6,30.8,303,392,120,245,2542,31,1,2800.2
17,Devin Booker,PHO,SG,68,1822,342,329,26,77,46.6,86.8,38.3,315,479,183,162,2342,5,0,2769.9
18,Nikola Vucevic,CHI,C,73,1288,804,236,71,71,47.3,76,31.4,92,442,104,136,2417,44,0,2754.8
19,Kevin Durant,BKN,SF,55,1643,407,351,52,48,51.8,91,38.3,372,463,115,191,2046,18,4,2666.9
20,Tyrese Haliburton,IND,PG,77,1181,311,628,49,134,47.3,84.2,41.4,160,269,161,199,2692,25,0,2663.2
21,Stephen Curry,GS,PG,64,1630,335,404,23,85,43.7,92.3,38,275,250,285,206,2211,12,2,2648
22,Jonas Valanciunas,NO,C,74,1314,843,190,60,41,54.4,82,36.1,237,453,57,179,2240,50,0,2633.6
23,Donovan Mitchell,UTA,SG,67,1733,282,358,12,99,44.8,85.3,35.5,267,385,232,200,2264,3,0,2630.4
24,Darius Garland,CLE,PG,68,1473,224,583,7,89,46.2,89.2,38.3,215,368,174,248,2430,29,1,2560.3
25,Rudy Gobert,UTA,C,66,1027,968,72,137,45,71.3,69,0,303,362,0,119,2117,53,0,2541.6
26,Domantas Sabonis,SAC,PF,62,1171,752,323,27,59,57.3,74.1,31.2,246,404,39,195,2133,46,5,2534.9
27,Ja Morant,MEM,PG,57,1564,325,384,22,66,49.3,76.1,34.4,316,492,88,196,1888,10,1,2510
28,Chris Paul,PHO,PG,65,958,283,702,20,121,49.3,83.7,31.7,169,300,63,153,2139,34,2,2479.6
29,Anthony Edwards,MIN,SG,72,1533,343,275,46,105,44.1,78.6,35.7,220,334,215,190,2464,4,0,2469.1
30,Fred VanVleet,TOR,PG,67,1320,289,434,35,111,40.3,87.4,37.7,194,200,242,170,2461,10,1,2439.8
