RK,NAME,TEAM,POS,GMS,PTS,REB,AST,BLK,STL,FGP,FTP,3PP,FTM,2PM,3PM,TO,MIN,DD2,TD3,FPTS
1,Kevin Love,MIN,PF,58,1226,904,147,21,36,47.2,86.6,42.7,354,322,76,126,2124,53,0,2519.3
2,LeBron James,MIA,SF,54,1412,401,381,36,84,48.4,75.6,34.3,365,420,69,200,2066,22,3,2504.7
3,Dwight Howard,ORL,C,55,1276,758,64,124,73,58.9,59.6,0,380,448,0,184,2018,45,0,2491.6
4,Blake Griffin,LAC,PF,56,1264,697,200,31,37,51.1,62.6,42.9,300,473,6,155,2116,46,0,2381.4
5,Amar'e Stoudemire,NY,C,54,1405,464,149,121,54,51.1,78.9,47.4,330,524,9,184,1996,22,0,2351.3
6,Russell Westbrook,OKC,PG,56,1237,271,467,25,96,43.5,84.6,30.2,384,398,19,215,1982,26,3,2289.7
7,Pau Gasol,LAL,C,57,1059,608,207,102,35,52.3,81.6,0,253,403,0,106,2125,33,1,2267.1
8,Derrick Rose,CHI,PG,54,1338,237,438,34,54,44.3,84,34.3,284,407,80,190,2049,17,1,2265.4
9,Chris Paul,NO,PG,59,948,236,566,3,146,46.9,89.5,41.2,264,258,56,137,2104,24,0,2241.2
10,Monta Ellis,GS,SG,57,1421,194,311,14,132,45.5,77.1,35.3,263,444,90,192,2329,5,0,2220.3
11,Dwyane Wade,MIA,SG,52,1354,356,224,51,76,50.4,73.3,31.5,341,439,45,166,1932,7,0,2205.2
12,Kevin Durant,OKC,SF,52,1480,371,146,47,57,46.1,88.1,33.7,408,395,94,160,2059,11,0,2192.2
13,Kobe Bryant,LAL,SF,57,1432,289,276,7,71,46,82.6,30.8,333,440,73,174,1927,6,1,2174.8
14,Zach Randolph,MEM,PF,55,1100,722,98,20,38,48.2,74.7,18.8,216,433,6,102,2023,42,0,2127.4
15,Deron Williams,BKN,PG,53,1113,204,517,12,66,45.6,84.4,33.9,309,276,84,188,2005,27,0,2101.3
16,LaMarcus Aldridge,POR,PF,54,1196,492,114,66,62,49.7,78.8,18.8,245,471,3,115,2150,25,0,2098.4
17,Al Jefferson,UTA,C,58,1038,522,90,110,36,49.5,76.9,0,166,436,0,71,2054,22,0,2020.4
18,Carmelo Anthony,NY,PF,52,1311,403,145,32,44,45.2,81.8,34.3,347,413,46,146,1850,13,0,2018.1
19,Luis Scola,HOU,PF,60,1138,499,149,38,42,49.8,72.9,0,188,475,0,115,1988,15,0,2005.3
20,Josh Smith,ATL,PF,55,908,479,192,94,74,47.4,73.7,34.8,165,313,39,148,1926,23,1,1958.8
21,David West,NO,PF,57,1096,439,135,51,56,51.3,80.7,33.3,218,436,2,119,2011,12,0,1920.3
22,Paul Millsap,UTA,PF,57,1000,463,133,48,79,53.4,75.3,36.4,192,398,4,100,1942,16,0,1909.1
23,Steve Nash,PHO,PG,53,876,195,605,2,34,51.3,91.2,38.6,187,256,59,193,1771,34,0,1896.5
24,Raymond Felton,DEN,PG,53,875,191,473,11,94,41.5,86.7,32.3,150,241,81,171,2027,23,1,1852.7
25,Al Horford,ATL,PF,52,830,507,192,56,41,56.9,80.9,0,106,362,0,74,1806,26,0,1846.4
26,Tim Duncan,SA,C,55,754,511,161,116,36,49.1,71,0,132,311,0,96,1616,20,1,1816.7
