RK,NAME,TEAM,POS,GMS,PTS,REB,AST,BLK,STL,FGP,FTP,3PP,FTM,2PM,3PM,TO,MIN,DD2,TD3,FPTS
182,Patrick Patterson,TOR,PF,79,543,340,94,32,53,41.4,85.3,36.2,29,98,106,65,2019,0,0,1197
183,Jon Leuer,PHO,PF,67,567,373,72,30,38,48.1,76.2,38.2,77,182,42,75,1255,10,0,1183.6
184,Tony Allen,MEM,SG,64,535,297,70,18,109,45.8,65.2,35.7,90,200,15,78,1619,1,0,1172.4
185,Darrell Arthur,DEN,PF,70,527,293,96,48,53,45.2,75.5,38.5,40,176,45,66,1516,2,0,1158.6
186,Stanley Johnson,DET,SF,73,593,306,118,12,55,37.5,78.4,30.7,80,162,63,114,1687,3,0,1157.2
187,Garrett Temple,WAS,SG,80,582,212,140,18,69,39.8,72.8,34.6,91,112,89,64,1951,0,0,1156.4
188,Wesley Johnson,LAC,SF,80,549,248,49,56,89,40.4,65.2,33.3,30,105,103,54,1665,0,0,1156.1
189,C.J. Miles,IND,SF,64,753,175,63,29,53,40.9,75,36.7,93,117,142,70,1463,0,0,1151.5
190,Terrence Ross,TOR,SG,73,720,185,57,25,54,43.1,79,38.6,49,139,131,46,1747,1,0,1139.5
191,Shaun Livingston,GS,PG,78,488,170,238,27,57,53.6,86,16.7,80,201,2,78,1519,0,0,1139
192,Al Jefferson,CHA,C,47,562,301,70,41,30,48.5,64.9,0,72,245,0,34,1096,7,0,1136.2
193,Aron Baynes,DET,C,81,514,384,51,52,21,50.5,76.4,0,126,194,0,67,1232,1,0,1130.3
194,Willie Cauley-Stein,SAC,C,66,463,352,37,66,48,56.3,64.8,0,81,191,0,46,1411,3,0,1122.9
195,Corey Brewer,HOU,SF,82,590,199,109,19,84,38.4,75,27.1,105,151,61,78,1668,0,0,1120.3
196,Eric Bledsoe,PHO,PG,31,632,125,190,19,63,45.3,80.2,37.2,138,175,48,111,1058,3,0,1120
197,Lavoy Allen,IND,PF,79,428,424,76,42,26,51.6,63,0,46,191,0,69,1597,4,0,1117.8
198,Jeremy Lamb,CHA,SG,66,580,251,78,30,42,45.1,72.7,30.9,64,174,56,50,1227,1,0,1092.2
199,Nik Stauskas,PHI,SG,73,617,183,139,20,44,38.5,77.1,32.6,91,104,106,94,1809,0,0,1079.1
200,Doug McDermott,CHI,SF,81,764,195,59,6,14,45.2,85.7,42.5,72,181,110,52,1860,0,0,1074.5
201,Nene Hilario,WAS,C,57,525,259,97,26,54,54.4,57.8,0,107,209,0,76,1093,1,0,1065.3
202,Brandon Bass,LAL,PF,66,473,285,74,55,33,54.9,84.5,0,125,174,0,42,1342,0,0,1060
203,Manu Ginobili,SA,SG,58,555,146,177,11,66,45.3,81.2,39.1,91,127,70,99,1134,0,0,1050.7
204,Lance Stephenson,MEM,SG,69,573,223,133,9,43,48.1,78.4,38.5,87,198,30,94,1372,1,0,1050.1
205,Maurice Harkless,POR,SF,78,498,280,67,35,49,47.4,62.2,27.9,69,156,39,62,1456,4,0,1040.5
206,Jason Smith,ORL,PF,76,546,218,62,65,33,48.5,80.6,25,54,240,4,57,1180,1,0,1039.6
207,Gerald Henderson,POR,SG,72,624,212,75,19,39,43.9,76.7,35,112,184,48,68,1431,0,0,1038.9
208,Trey Burke,UTA,PG,64,679,112,148,6,35,41.3,81.7,34.4,67,174,88,80,1365,0,0,1037.4
209,Eric Gordon,NO,SG,45,686,99,121,14,43,41.9,88.8,38.6,111,118,113,73,1481,0,0,1027.3
210,Marco Belinelli,SAC,SG,68,696,117,128,2,37,38.6,83.3,30.6,115,154,91,80,1671,0,0,1026.4
211,Donald Sloan,BKN,PG,61,424,173,268,4,32,44,75,38.4,78,116,38,80,1317,3,0,1025.6
212,Boris Diaw,SA,C,76,485,232,176,21,26,52.7,73.7,36.2,56,177,25,97,1385,0,0,1024.4
213,Toney Douglas,NO,PG,61,533,143,155,5,70,41.3,84.8,39.9,84,103,81,64,1262,1,0,1023.1
214,Timofey Mozgov,CLE,C,76,475,338,33,57,22,56.5,71.6,14.3,68,202,1,71,1325,2,0,1017.1
215,Jerryd Bayless,MIL,PG,52,541,141,163,12,47,42.3,77.8,43.7,70,84,101,73,1504,1,0,999.7
216,Meyers Leonard,POR,C,61,509,314,92,18,8,44.7,76.1,37.7,35,108,86,77,1332,4,0,998.8
217,Dante Cunningham,NO,SF,80,484,236,77,33,42,45,69.5,31.6,57,131,55,41,1970,0,0,991.7
218,Wayne Ellington,BKN,SG,76,586,174,82,5,48,38.9,85.7,35.8,54,122,96,45,1615,0,0,978.8
219,Trey Lyles,UTA,PF,80,488,299,62,18,26,43.8,69.5,38.3,57,142,49,65,1382,2,0,962.8
220,Gerald Green,MIA,SG,69,616,163,56,19,37,39.2,78.3,32.3,72,146,84,46,1557,0,0,961.6
221,Bobby Portis,CHI,PF,62,436,337,52,22,25,42.8,72.7,30.8,48,170,16,55,1102,6,0,957.4
222,David Lee,DAL,PF,55,427,305,84,28,22,53.1,76.3,0,71,178,0,66,902,4,0,953
223,Austin Rivers,LAC,PG,67,593,130,99,10,48,43.8,68.1,33.5,79,164,62,61,1463,0,0,952.5
224,Randy Foye,OKC,SG,81,472,156,160,29,39,34.9,82.4,30,61,93,75,86,1641,0,0,949.2
225,Kyle Anderson,SA,SF,78,350,245,123,29,60,46.6,74.7,32.4,62,126,12,59,1245,1,0,947.5
226,Marcus Thornton,WAS,SG,61,590,149,85,4,47,39.9,84.8,33.6,67,125,91,51,1108,0,0,947.3
227,Rodney Stuckey,IND,PG,58,517,156,142,8,43,41.2,82.9,24.1,131,163,20,76,1276,0,0,943.2
228,John Henson,MIL,PF,57,397,221,54,109,18,56.4,59,0,69,164,0,64,959,3,0,933.2
229,Marreese Speights,GS,PF,72,512,239,61,34,19,43.1,82.5,38.1,94,173,24,66,832,1,0,930.3
230,Norris Cole,NO,PG,45,477,151,167,5,37,40.4,80,32,52,163,33,75,1198,2,0,917.7
231,Jarrett Jack,BKN,PG,32,411,135,236,7,34,39.1,89.3,30.4,100,109,31,94,1026,6,0,915
232,Cole Aldrich,LAC,C,60,328,288,50,68,47,59.6,71.4,0,60,134,0,64,799,3,0,914.6
233,Devin Harris,DAL,PG,64,487,138,118,13,60,44.7,72.1,32.9,101,115,52,66,1280,0,0,909.6
234,Larry Nance Jr.,LAL,PF,63,349,312,44,23,54,52.7,68.1,10,32,157,1,41,1265,3,0,902.4
235,Joffrey Lauvergne,DEN,C,59,465,290,56,15,13,51.3,89.9,24.5,62,182,13,54,1041,5,0,899
236,Raul Neto,UTA,PG,81,476,120,173,2,62,43.1,74.3,39.5,52,116,64,109,1498,0,0,898.5
237,Ty Lawson,IND,PG,66,373,120,237,7,53,39.3,68.6,33.3,59,103,36,95,1411,1,0,897.5
238,Jerian Grant,NY,PG,76,426,143,177,10,50,39.4,78,22,96,132,22,87,1269,0,0,896.1
239,Thomas Robinson,BKN,PF,71,307,359,46,36,39,44.7,43.1,0,47,130,0,69,916,8,0,887.8
240,Channing Frye,CLE,PF,70,423,234,71,28,29,43.5,85.7,38.4,30,60,91,43,1199,0,0,881.3
241,Aaron Brooks,CHI,PG,69,491,101,180,10,30,40,76.6,35.7,49,122,66,82,1108,0,0,880.2
242,D.J. Augustin,DEN,PG,62,467,95,198,4,38,42.3,80.5,40.2,103,80,68,84,1177,2,0,878
243,Dwight Powell,DAL,PF,69,399,273,44,24,36,49.3,73.9,12.5,105,144,2,40,991,3,0,872.6
244,Mike Scott,ATL,PF,75,464,206,78,17,25,46.8,79.4,39.2,50,114,62,42,1153,0,0,870.2
245,Mario Hezonja,ORL,SG,79,478,176,109,17,39,43.3,90.7,34.9,49,114,67,97,1412,0,0,867.7
246,Andre Roberson,OKC,SG,70,337,250,47,42,54,49.6,61.1,31.1,33,104,32,35,1553,0,0,864.5
247,Shelvin Mack,UTA,PG,52,448,128,187,3,34,43.9,73.8,31.5,45,143,39,95,1066,3,0,861.1
248,Ben McLemore,SAC,SG,68,531,149,79,10,52,42.9,71.8,36.2,74,128,67,99,1442,0,0,853.3
249,Spencer Hawes,CHA,PF,57,340,244,109,27,22,40.5,83.1,37.3,54,86,38,59,1035,1,0,835.3
250,Omer Asik,NO,C,68,269,413,26,23,21,53.1,54.5,0,61,104,0,60,1178,2,0,831.6
251,T.J. Warren,PHO,SF,47,515,147,44,16,37,50.1,70.3,40,45,193,28,32,1070,1,0,831.4
252,Archie Goodwin,PHO,SG,57,505,142,117,13,27,41.7,67.4,23.2,130,153,23,100,1113,1,0,830.9
253,Alonzo Gee,NO,SF,73,323,245,73,13,63,51.6,66.7,27.9,44,114,17,55,1632,0,0,823.5
254,Terrence Jones,HOU,PF,50,434,211,41,38,23,45.2,66.4,31.6,77,141,25,49,1044,0,0,821.7
255,Jonas Jerebko,BOS,PF,78,340,288,62,24,20,41.3,78.2,39.8,61,75,43,52,1176,1,0,814.6
256,E'Twaun Moore,CHI,SG,59,443,133,99,18,37,48.1,62.9,45.2,22,140,47,53,1263,0,0,808.1
257,Kyle O'Quinn,NY,C,65,309,250,72,49,20,47.6,76.7,22.7,46,124,5,61,764,1,0,794
258,Anthony Tolliver,DET,PF,72,383,229,52,16,26,38.4,61.7,36,29,30,98,28,1340,0,0,791.8
259,Paul Pierce,LAC,SF,68,417,186,71,17,33,36.3,81.8,31,54,69,75,58,1230,0,0,788.7
260,Tyreke Evans,NO,SG,25,379,129,164,8,32,43.5,79.6,38.8,74,103,33,73,765,6,0,786.8
261,Iman Shumpert,CLE,SG,54,311,203,92,19,54,37.4,78.4,29.5,40,71,43,56,1316,1,0,782.6
262,Josh Smith,HOU,PF,55,332,193,89,47,34,36.4,55.2,28.7,37,86,41,77,880,0,0,782.1
263,Alexis Ajinca,NO,C,59,352,269,32,36,19,47.8,83.9,0,52,150,0,54,860,4,0,778.8
264,Festus Ezeli,GS,C,46,320,260,32,50,18,54.8,53,0,70,125,0,38,770,6,0,778
265,Ronnie Price,PHO,PG,62,331,99,147,13,74,38.4,75.6,34.7,31,48,68,70,1211,0,0,774.3
266,Leandro Barbosa,GS,SG,68,433,117,82,10,44,46.2,83.9,35.1,52,132,39,53,1079,0,0,751.4
267,Noah Vonleh,POR,PF,78,283,305,30,26,27,41.9,74.5,23.4,38,106,11,50,1173,0,0,750
268,Kevin Martin,SA,SG,55,514,110,58,3,26,37.2,89,36.3,153,107,49,54,1094,0,0,737
269,Jason Terry,HOU,SG,72,422,78,103,9,47,40.2,81.8,35.6,27,58,93,49,1257,0,0,733.1
270,Nemanja Bjelica,MIN,PF,60,308,210,83,21,26,46.8,72.7,38.4,40,62,48,47,1074,3,0,731.5
271,Vince Carter,MEM,SG,60,395,146,56,16,38,38.8,83.3,34.9,70,74,59,35,1005,0,0,727.2
272,P.J. Hairston,MEM,SF,66,410,174,39,11,32,35.5,78.1,29,50,75,70,41,1313,1,0,722.3
273,Lance Thomas,NY,SF,59,484,131,53,7,22,44.2,85.7,40.4,102,125,44,57,1321,0,0,721.7
274,Joe Ingles,UTA,SF,81,342,151,96,4,55,42.6,72.2,38.6,13,43,81,65,1241,0,0,720.2
275,Brandon Jennings,ORL,PG,48,332,96,171,7,29,37,73.1,32.9,57,61,51,57,867,1,0,718.7
276,Miles Plumlee,MIL,C,61,314,232,16,50,21,60.1,57.6,0,34,140,0,40,869,0,0,718.4
277,Jameer Nelson,DEN,PG,39,299,115,191,5,25,36.8,85.7,29.9,30,70,43,66,1035,0,0,717.5
278,Jakarr Sampson,DEN,SF,73,374,190,46,33,23,44,65.6,22.2,80,126,14,70,1159,0,0,713
279,Richard Jefferson,CLE,SF,74,410,128,59,14,33,45.8,66.7,38.2,58,77,66,43,1325,0,0,703.1
280,Kris Humphries,ATL,PF,53,343,218,36,24,16,41,79.8,31.5,67,87,34,38,834,1,0,700.6
281,Markel Brown,BKN,SG,62,363,122,91,15,38,39.4,75.5,31.4,71,89,38,54,982,1,0,697.9
282,Andrew Nicholson,ORL,PF,56,384,201,25,22,10,47.2,78.5,36.3,51,105,41,41,822,0,0,685.7
283,Tony Snell,CHI,SG,64,338,199,63,17,16,37.2,90.9,36.1,30,70,56,52,1301,1,0,685.3
284,Amar'e Stoudemire,MIA,C,52,300,222,27,41,19,56.6,74.6,0,50,125,0,47,762,2,0,679.9
285,Josh Richardson,MIA,SF,52,341,107,73,25,36,45.2,66.7,46.1,42,70,53,35,1106,0,0,665.9
286,O.J. Mayo,MIL,SG,41,321,106,119,8,47,37.1,77.5,32.1,31,67,52,72,1089,0,0,664.7
287,Brandon Rush,GS,SG,72,305,180,57,23,21,42.7,64.3,41.4,18,46,65,33,1054,0,0,661.5
288,Dewayne Dedmon,ORL,C,58,255,228,13,46,22,55.9,75,0,57,99,0,32,704,1,0,652.1
288,Quincy Acy,SAC,SF,59,307,188,27,24,29,55.6,73.5,38.8,50,100,19,27,875,0,0,652.1
290,Tim Frazier,NO,PG,51,261,110,162,2,33,41.7,71.6,33.3,53,80,16,65,741,2,0,641
291,Tyler Zeller,BOS,C,60,364,178,29,22,10,47.6,81.5,0,88,138,0,46,709,1,0,639.1
292,Steve Blake,DET,PG,58,254,89,200,5,24,38.8,80,34.4,16,41,52,81,986,0,0,637.8
293,Joakim Noah,CHI,C,29,124,255,109,29,18,38.3,48.9,0,22,51,0,52,635,1,0,635.5
294,Sasha Vujacic,NY,SG,61,296,149,84,5,34,38.3,82.1,36.4,32,54,52,44,908,0,0,634.8
295,Alec Burks,UTA,SG,31,412,109,63,4,18,41,75.2,40.5,106,105,32,51,797,0,0,630.3
296,Jusuf Nurkic,DEN,C,32,263,174,40,44,24,41.7,61.6,0,61,101,0,55,547,3,0,612.8
297,James Johnson,TOR,PF,57,287,126,67,33,29,47.5,57.4,30.3,39,94,20,54,925,0,0,608.7
298,Marcelo Huertas,LAL,PG,53,237,90,182,7,26,42.2,93.1,26.2,27,81,16,80,868,0,0,604
299,Boban Marjanovic,SA,C,54,297,194,21,23,12,60.3,76.3,0,87,105,0,29,507,3,0,602.3
300,Luke Babbitt,NO,SF,47,327,148,53,7,11,42.2,78,40.4,39,78,44,23,845,1,0,597.1
301,Carl Landry,PHI,PF,36,351,146,32,9,12,55.6,73.6,46.2,67,133,6,22,569,0,0,594.2
302,Solomon Hill,IND,SF,59,246,166,57,11,37,44.7,85.7,32.9,36,69,24,33,866,1,0,593.7
303,Tyler Johnson,MIA,SG,36,314,110,79,14,24,48.8,79.7,38.6,51,91,27,47,862,0,0,593.5
304,Nick Young,LAL,SG,54,392,97,34,7,23,33.9,82.9,32.5,63,49,77,30,1033,0,0,589.4
305,Chase Budinger,PHO,SF,66,271,150,64,10,32,43.5,69.6,27.9,39,80,24,44,928,0,0,587
305,Cameron Payne,OKC,PG,57,283,85,108,6,36,41,79.2,32.4,19,78,36,44,697,0,0,587
307,Richaun Holmes,PHI,PF,51,287,135,33,40,19,51.4,68.9,18.2,51,106,8,32,702,0,0,584.5
308,Tayshaun Prince,MIN,SF,77,221,147,73,13,36,44.5,68.4,17.4,13,98,4,27,1461,0,0,577.9
309,Jeff Withey,UTA,C,51,217,173,20,53,21,53.7,72.9,0,43,87,0,28,657,2,0,574.6
310,Luc Richard Mbah a Moute,LAC,PF,74,231,171,30,19,44,45.4,52.6,32.5,30,81,13,34,1273,0,0,573.2
