RK,NAME,TEAM,POS,GMS,PTS,REB,AST,BLK,STL,FGP,FTP,3PP,FTM,2PM,3PM,TO,MIN,DD2,TD3,FPTS
1,James Harden,HOU,PG,68,2335,446,512,60,125,44.4,86.5,35.5,692,373,299,308,2482,22,4,3700.2
2,Giannis Antetokounmpo,MIL,PF,63,1857,856,354,66,61,55.3,63.3,30.4,398,596,89,230,1916,56,4,3439.2
3,LeBron James,LAL,SF,67,1698,525,684,36,78,49.3,69.3,34.8,264,495,148,261,2316,46,13,3321
4,Luka Doncic,DAL,PG,61,1759,573,538,14,62,46.3,75.8,31.6,426,410,171,260,2047,39,17,3145.6
5,Nikola Jokic,DEN,C,73,1456,711,512,44,85,52.8,81.7,31.4,246,485,80,226,2335,43,13,3109.2
6,Damian Lillard,POR,PG,66,1978,284,530,22,70,46.3,88.8,40.1,460,354,270,194,2473,19,1,3103.8
7,Anthony Davis,LAL,PF,62,1618,577,200,143,91,50.3,84.6,33,444,479,72,154,2131,29,0,2924.4
8,Trae Young,ATL,PG,60,1778,254,560,8,65,43.7,86,36.1,481,341,205,289,2120,28,2,2779.8
9,Devin Booker,PHO,SG,70,1863,297,456,18,49,48.9,91.9,35.4,468,486,141,264,2511,11,0,2773.4
10,Bam Adebayo,MIA,C,72,1146,735,368,93,82,55.7,69.1,14.3,264,438,2,204,2417,40,3,2726
11,Russell Westbrook,HOU,PG,57,1553,451,401,20,93,47.2,76.3,25.8,290,549,55,255,2049,22,8,2666.7
12,Kawhi Leonard,LAC,SF,57,1543,402,280,33,103,47,88.6,37.8,356,409,123,149,1848,13,1,2568.4
13,Hassan Whiteside,POR,C,67,1040,905,78,196,26,62.1,68.6,57.1,164,432,4,120,2008,51,0,2567
14,Bradley Beal,WAS,SG,57,1741,242,347,23,71,45.5,84.2,35.3,385,423,170,194,2053,8,0,2545.9
15,Jayson Tatum,BOS,SF,66,1547,460,200,57,93,45,81.2,40.3,254,363,189,155,2265,10,0,2544
16,DeMar DeRozan,SA,SG,68,1504,375,379,20,70,53.1,84.5,25.7,381,548,9,164,2316,7,0,2538.5
17,Domantas Sabonis,IND,C,62,1147,771,310,30,47,54,72.3,25.4,214,441,17,170,2158,50,4,2521.2
18,Rudy Gobert,UTA,C,68,1026,916,101,134,51,69.3,63,0,254,386,0,130,2332,49,0,2516.7
19,Andre Drummond,CLE,C,57,1010,864,152,93,109,53.3,57.5,14.3,169,413,5,203,1878,47,0,2475.8
20,Nikola Vucevic,ORL,C,62,1215,672,222,47,54,47.7,78.4,33.9,131,395,98,88,1998,41,0,2468.4
21,Donovan Mitchell,UTA,SG,69,1655,304,294,14,70,44.9,86.3,36.6,278,429,173,184,2364,1,0,2444.8
22,C.J. McCollum,POR,SG,70,1556,297,310,42,54,45.1,75.7,37.9,140,417,194,127,2556,4,0,2442.4
23,Chris Paul,OKC,PG,70,1232,349,472,11,111,48.9,90.7,36.5,253,323,111,161,2207,10,0,2441.8
24,Tobias Harris,PHI,SF,72,1410,495,227,40,53,47.1,80.5,36.7,173,422,131,104,2469,11,0,2426.5
25,Brandon Ingram,NO,SF,62,1477,380,259,38,61,46.3,85.1,39.1,313,357,150,189,2103,9,0,2330.5
26,Shai Gilgeous-Alexander,OKC,SG,70,1331,412,232,47,79,47.1,80.7,34.7,288,391,87,134,2428,9,1,2291.4
27,Pascal Siakam,TOR,PF,60,1371,439,207,53,61,45.3,79.2,35.9,240,369,131,148,2110,12,0,2288.3
28,Jimmy Butler,MIA,SG,58,1157,386,350,32,103,45.5,83.4,24.4,438,316,29,127,1959,11,3,2288.2
29,Zach LaVine,CHI,PG,60,1530,289,254,28,88,45,80.2,38,268,355,184,206,2085,2,0,2283.8
30,Jonas Valanciunas,MEM,C,70,1044,788,131,77,30,58.5,74,35.2,148,400,32,127,1845,39,1,2273.1
31,Ben Simmons,PHI,PG,57,937,444,455,33,119,58,62.1,28.6,185,373,2,200,2016,31,6,2256.3
32,Julius Randle,NY,PF,64,1248,622,198,22,51,46,73.3,27.7,258,399,64,193,2080,30,0,2244.4
33,Jrue Holiday,NO,PG,61,1167,293,408,48,99,45.5,70.9,35.3,129,336,122,184,2116,10,1,2240.6
34,Kristaps Porzingis,DAL,PF,57,1164,540,102,115,41,42.7,79.9,35.2,226,256,142,92,1813,25,0,2185
35,Spencer Dinwiddie,BKN,PG,64,1318,221,432,21,40,41.5,77.8,30.8,347,301,123,174,1994,9,0,2179.2
36,Joel Embiid,PHI,C,51,1173,593,152,65,45,47.7,80.7,33.1,352,325,57,159,1505,37,0,2173.6
37,JA Morant,MEM,PG,67,1193,259,488,18,58,47.7,77.6,33.5,239,387,60,220,2074,15,2,2167.8
38,Kyle Lowry,TOR,PG,58,1126,292,433,26,82,41.6,85.7,35.2,294,170,164,178,2098,15,2,2163.9
39,Khris Middleton,MIL,SF,62,1297,382,265,7,53,49.7,91.6,41.5,208,324,147,137,1852,7,0,2135.9
40,Ricky Rubio,PHO,PG,65,847,304,570,11,94,41.5,86.3,36.1,195,209,78,173,2016,22,2,2103.8
41,Buddy Hield,SAC,SG,72,1382,328,213,17,66,42.9,84.6,39.4,115,227,271,168,2216,2,0,2093.1
