RK,NAME,TEAM,POS,GMS,PTS,REB,AST,BLK,STL,FGP,FTP,3PP,FTM,2PM,3PM,TO,MIN,DD2,TD3,FPTS
1,Nikola Jokic,DEN,C,72,1898,780,599,48,95,56.6,86.8,38.8,342,640,92,223,2488,60,16,3795.5
2,Russell Westbrook,WAS,PG,65,1445,750,763,23,89,43.9,65.6,31.5,271,458,86,312,2368,59,38,3401.5
3,Luka Doncic,DAL,PG,66,1830,527,567,36,64,47.9,73,35,344,455,192,281,2262,26,11,3231.9
4,Julius Randle,NY,PF,71,1712,723,427,18,64,45.6,81.1,41.1,348,442,160,241,2666,41,6,3143.1
5,Giannis Antetokounmpo,MIL,PF,61,1717,671,357,73,72,56.9,68.5,30.3,398,559,67,207,2006,41,7,3140.7
6,Nikola Vucevic,CHI,C,70,1639,818,269,48,65,47.7,84,39.9,131,490,176,126,2348,48,2,3124.1
7,Damian Lillard,POR,PG,68,1926,283,505,17,62,45.1,92.7,39.1,447,327,275,203,2398,16,0,2978.1
8,Stephen Curry,GS,PG,63,2015,345,363,8,77,48.2,91.6,42.1,362,321,337,213,2151,8,0,2930.5
9,Domantas Sabonis,IND,C,62,1260,742,415,33,76,53.5,73.2,32.1,240,432,52,213,2231,48,9,2777.9
10,Jayson Tatum,BOS,SF,64,1692,472,276,31,75,45.9,86.8,38.6,295,418,187,171,2289,15,1,2713.4
11,Trae Young,ATL,PG,63,1594,245,594,12,53,43.8,88.6,34.3,484,351,136,261,2124,28,0,2648
12,Rudy Gobert,UTA,C,71,1015,962,89,190,40,67.5,62.3,0,233,391,0,118,2186,49,0,2644.9
13,Bradley Beal,WAS,SG,61,1878,283,265,22,69,48.5,88.9,34.9,408,540,130,187,2147,4,0,2610.1
14,Zion Williamson,NO,PF,61,1647,441,226,39,57,61.1,69.8,29.4,369,624,10,167,2025,14,0,2540.2
15,Chris Paul,PHO,PG,70,1149,311,622,19,99,49.9,93.4,39.5,169,337,102,156,2199,25,1,2535.2
16,Bam Adebayo,MIA,C,64,1197,573,346,66,75,57,79.9,25,283,454,2,169,2142,33,2,2516.6
17,Khris Middleton,MIL,SF,68,1385,406,370,9,74,47.6,89.8,41.4,212,360,151,178,2272,10,0,2415.2
18,Devin Booker,PHO,SG,67,1712,281,289,16,53,48.4,86.7,34,340,497,126,207,2270,1,0,2413.7
19,Joel Embiid,PHI,C,51,1451,538,145,69,50,51.3,85.9,37.7,471,403,58,159,1585,30,0,2393.1
20,Clint Capela,ATL,C,64,956,903,49,129,44,59.4,57.3,0,130,413,0,73,1899,48,1,2386.1
21,De'Aaron Fox,SAC,PG,58,1461,203,417,27,87,47.7,71.9,32.2,300,426,103,174,2036,11,0,2384.1
22,Kyrie Irving,BKN,PG,54,1451,257,324,37,76,50.6,92.2,40.2,201,397,152,130,1876,8,0,2341.4
23,Terry Rozier,CHA,PG,69,1407,302,293,26,87,45,81.7,38.9,165,288,222,128,2383,5,0,2306.9
24,Zach LaVine,CHI,SG,58,1591,289,282,27,46,50.7,84.9,41.9,253,369,200,203,2033,3,0,2303.8
